m	trial	K_relative_error	S_relative_error
100	0	-0.050536812282597987	-0.17695422500187319
100	1	-0.12082398421767904	-0.12206010928390121
100	2	-0.047679316281161399	0.03091149318351416
100	3	-0.01794918353924535	0.016639023096841399
100	4	0.15512619730512545	0.086903491215845508
100	5	0.024157325028729915	-0.05838293505105363
100	6	0.078096191210168975	0.081414079644048343
100	7	-0.10452464513674031	-0.056553131193787909
100	8	-0.10751129502774637	-0.079242699023883034
100	9	-0.15258131430368072	-0.20915877288975004
100	10	0.038683923854887503	-0.05984677813686623
100	11	0.13946783159677945	0.14509125387689581
100	12	0.0087903119040295685	-0.043378543421474625
100	13	-0.029967339910333513	0.062018158757031649
100	14	-0.041360975927715815	-0.060944660451225707
100	15	-0.022421351381748722	-0.1458475594283557
100	16	0.10642047769002305	0.1150824706177378
100	17	0.091890874762796892	0.10300576515978399
100	18	-0.099142525071593157	-0.090953443710383719
100	19	-0.00073292052370943495	0.032375336269326649
100	20	-0.040712564497224712	-0.013735720933769735
100	21	-0.071411656519266065	-0.067165993565929227
100	22	-0.069071837330881736	-0.1264516385413389
100	23	0.14093921317780911	0.094222706644908394
100	24	0.17411496060010245	0.066043727243016104
100	25	-0.086518852847042083	-0.063140425079944551
100	26	0.0082449833411002427	0.0052942391817938361
100	27	-0.00012507023446250987	-0.08948960062457112
100	28	-0.062171262056570309	-0.104128031482697
100	29	-0.11110556768725333	-0.094613051424915273
100	30	0.052754539994173122	0.1073972944172219
100	31	0.10503482700621913	0.12862301916150432
100	32	-0.051764676548848199	-0.093515169110555796
100	33	0.0055596304759595316	-0.007514387819066215
100	34	-0.043982087763567157	0.036400904755311325
100	35	-0.17736202282467262	-0.057651013508147386
100	36	0.023190341972982642	-0.070459640509007548
100	37	-0.2008739271743224	-0.20513320440376548
100	38	-0.092027538084670901	-0.17549038191606048
100	39	-0.063954123957179698	-0.16853712725845083
100	40	0.020262557771129286	0.052869139470702819
100	41	0.17481567387679608	0.21389187891008743
100	42	-0.07265097744866067	-0.046306229593099824
100	43	0.010525068794955406	-0.055089288107975309
100	44	0.082471649405862824	0.10520152978850295
100	45	-0.13473273598801061	-0.23623986997728286
100	46	-0.12295955748146448	-0.14255391248527738
100	47	-0.1210988038712475	-0.21355030214718795
100	48	-0.07351900091587138	-0.073387326680632636
100	49	-0.14095734711337515	-0.20220551823214028
100	50	-0.014534825959288455	-0.065702150480116517
100	51	0.083540466324276696	0.17070850787861613
100	52	0.093086301567188112	0.18717674259400763
100	53	-0.12089880961424848	-0.24685273234942429
100	54	0.066826773461173605	0.14618913619125529
100	55	0.10220342752296996	0.23914317214035452
100	56	-0.026853414267886233	-0.045940268821646701
100	57	0.16963068545716209	0.28598615088635748
100	58	-0.017570749938625174	0.06531180570010986
100	59	-0.064729476695826627	-0.072655405137726392
100	60	0.054424114233466714	0.075558707300797945
100	61	-0.084662326887643968	-0.12828144239860462
100	62	-0.048914598925771324	-0.00092709393290957287
100	63	-0.042197468170358965	0.019566709268466598
100	64	-0.17103576166424861	-0.20037571437487445
100	65	0.039423155996559212	0.1524104693059587
100	66	0.021043815455508597	-0.10888552151158781
100	67	-0.0059724022642089203	-0.084366149824227077
100	68	0.11347837894354229	0.10483556901704971
100	69	0.088518495523310259	0.098248275130893292
100	70	-0.1139081088244458	0.056528747185234485
100	71	-0.10365181222566999	-0.14474967711399622
100	72	-0.084680236507729711	-0.041914700335662025
100	73	-0.0072818335754051278	0.089831177387470706
100	74	0.14488812414099539	0.097150392816533593
100	75	0.11593861308517872	0.13191666610458253
100	76	0.084626445215969515	0.16814678247844417
100	77	0.042193294015554716	0.049575492527624609
100	78	-0.025877891199400982	-0.10193226685397816
100	79	0.2923932123304791	0.18571289950819514
100	80	-0.014554197548468428	0.0074900038105127908
100	81	0.12409148386124991	0.11837611756081623
100	82	-0.039527143288787481	0.10520152978850295
100	83	0.15592940399600685	0.25853909302737144
100	84	0.0045565974078960458	-0.04740411190745919
100	85	0.12378587082649939	0.040060512469842768
100	86	-0.063950836546522227	-0.045940268821646701
100	87	-0.06282587436957987	-0.084732110595680088
100	88	-0.058016922371337487	-0.060212738908319352
100	89	0.10377825809845009	0.25378160299848029
100	90	0.03715549642703686	-0.038621053392583704
100	91	-0.0041357966141973845	0.010783650753591001
100	92	-0.002944853716910445	0.033839179355139359
100	93	0.14708039882400348	0.12679321530423859
100	94	0.31816549956185969	0.36979116754912789
100	95	0.030766087918119966	-0.038255092621130582
100	96	0.070110328840906622	0.11691227447500352
100	97	0.052917399461869685	-0.0034888193330816497
100	98	0.04065997115443154	0.12386552913261339
100	99	-0.046890040790708687	-0.093515169110555796
100	100	-0.053617726878425698	-0.018127250191207644
100	101	-0.00094420122518790173	0.10593345133140919
100	102	0.0044914698309552747	0.10227384361687775
100	103	-0.024178076189376618	-0.035327406449505383
100	104	-0.066316609457490738	-0.12937932471296409
100	105	-0.18554165431786751	-0.14182199094237113
100	106	0.088391009963766143	-0.024714544077364176
100	107	0.25447954554276553	0.2867180724292635
100	108	0.22418719053717373	0.39577438232230144
100	109	-0.15843518361765163	-0.1356006578276675
100	110	-0.047203847442337077	-0.13413681474185501
100	111	-0.011371303690439927	-0.0042207408759878939
100	112	-0.047871698406616758	-0.075217130537898469
100	113	-0.0046658636433173362	-0.084366149824227077
100	114	0.020543004135880061	0.054698943327968763
100	115	-0.011623231848380322	-0.08948960062457112
100	116	-0.17090691057242235	-0.15646042180049691
100	117	0.11907090936095255	0.10593345133140919
100	118	-0.090148921987501907	-0.10376207071124388
100	119	0.19253396289845304	0.20693862425247755
100	120	-0.053959332537481197	-0.097174776825087128
100	121	0.30995678078666078	0.25414756376993375
100	122	0.12532671520933181	0.061652197985578416
100	123	-0.018493433290043049	-0.027276269477536252
100	124	0.2020200002071999	0.20181517345213384
100	125	-0.071141589188012944	-0.024348583305911053
100	126	0.12215087029392135	0.28305846471473228
100	127	-0.09179112543648249	-0.13706450091348021
100	128	0.21311659777594616	0.28744999397216997
100	129	-0.04335039329065582	0.014443258468122444
100	130	-0.013780179626955658	0.0078559645819658019
100	131	-0.097224628285852654	-0.029106073334801863
100	132	-0.099348931576973332	-0.033863563363692895
100	133	0.21822441053746333	0.23914317214035452
100	134	0.069834596651824565	0.057992590271046973
100	135	-0.1679592740143202	-0.20220551823214028
100	136	0.13004835896118161	0.18571289950819514
100	137	-0.11268051307675298	-0.064238307394304028
100	138	-0.061384917980476739	-0.086195953681492798
100	139	0.0709969491610003	0.085805608901486252
100	140	-0.042283547690739054	-0.10120034531107192
100	141	-0.099801233137856826	-0.0097101524477851697
100	142	0.071861786409653128	0.11105690213175312
100	143	-0.094514718593557867	-0.11620473694065092
100	144	-0.034108534270043678	-0.055455248879428543
100	145	0.080986018136252502	0.060188354899765928
100	146	0.14423409193233261	0.18022348793639797
100	147	-0.038704640192130491	-0.093149208339102563
100	148	0.19307886323935874	0.42248951863838102
100	149	0.10432098381768595	0.29293940554396714
100	150	0.024822733169647115	-0.036059327992411738
100	151	-0.039012647595120464	0.079218315015329388
100	152	0.1025906642085761	-0.013003799390863491
100	153	0.12261758937829237	0.025422081611716996
100	154	0.040698276100057829	0.092758863559095905
100	155	0.035215469245424957	0.0012686706958091598
100	156	-0.038908001361261713	-0.12096222696954173
100	157	-0.081960245981266389	-0.16963500957281019
100	158	0.16326729223658898	0.3072118756306399
100	159	0.020116262099044935	0.10886113750303439
100	160	0.010351719727733188	0.15570411624903713
100	161	0.12406078280297295	0.13996780307655188
100	162	0.072471236747885026	0.1465550969627083
100	163	-0.090520988165343486	-0.12169414851244797
100	164	0.10998885399218139	-0.0034888193330816497
100	165	0.032769512101654241	-0.0078803485905194481
100	166	-0.065899327580896672	-0.032033759506427173
100	167	-0.13828601844986899	-0.20769492980393756
100	168	-0.10820248996274207	-0.15829022565776274
100	169	-0.14072041244095013	-0.12315799159826057
100	170	0.1070007131382722	0.16997658633570989
100	171	0.074319381706408061	0.14984874390578695
100	172	0.11632181271900333	0.075924668072251178
100	173	-0.036725704798401759	0.00053674915290291558
100	174	-0.086917026145970189	-0.067531954337382349
100	175	-0.013859844327923532	0.0082219253534190351
100	176	-0.10595499797527319	-0.010442073990691525
100	177	0.083517890073763201	0.080316197329688865
100	178	0.12867857423342088	0.037132826298217569
100	179	0.0091311504954629807	-0.013735720933769735
100	180	-0.15003455383927367	-0.19817994974615571
100	181	0.059841956545128916	0.076290628843704411
100	182	0.024720495780772289	0.20474285962375882
100	183	-0.015753448764364464	0.0074900038105127908
100	184	-0.12539430525043971	-0.090953443710383719
100	185	-0.08944012449102634	-0.17000097034426342
100	186	0.091193535122803482	0.097516353587986826
100	187	0.16689243473653859	0.17253831173588186
100	188	-0.022480547766554171	0.012613454610856945
