k	trial	retained_edges	sampled_cost	estimate_S	relative_error
24518	114	5439	143487	766074075.73042262	-0.016712410600416283
24518	115	4682	124526	664841695.4456265	-0.14664833498802987
24518	116	5727	147900	789634989.93309152	0.013528991979750327
24518	117	4962	130691	697756500.80693483	-0.10440082832437092
24518	118	5059	141380	754824847.03678489	-0.031151258376625468
24518	119	5602	153074	817258867.13332009	0.048985374701205453
24518	120	5284	152518	814290394.82498491	0.045175218382471627
24518	121	5802	158639	846970285.11153293	0.087121201884216459
24518	122	5016	132176	705684884.58009672	-0.094224421609766962
24518	123	4362	112215	599113525.32347441	-0.23101314513179394
24518	124	5211	140036	747649259.2986505	-0.040361420413277171
24518	125	5546	134564	718434366.36481762	-0.077859937276787639
24518	126	5199	141882	757505014.4806416	-0.027711153211149919
24518	127	5426	156376	834888175.69829011	0.071613317443038671
24518	128	4954	133698	713810810.57521617	-0.083794461327189707
24518	129	5143	128930	688354558.83754897	-0.11646860760007305
24518	130	4880	133842	714579623.54715908	-0.082807658251834226
24518	131	4781	127132	678755074.64620554	-0.12878994044374836
24518	132	5314	146047	779741861.89829755	0.00083075518368191936
24518	133	5132	134933	720404449.60542142	-0.075331254396189151
24518	134	5204	140339	749266969.92711377	-0.038285022275549974
24518	135	5176	140420	749699427.22383165	-0.037729945545662447
24518	136	5222	145642	777579575.4147079	-0.0019446284657554935
24518	137	4976	130474	696597942.37004852	-0.10588788573653873
24518	138	5148	142917	763030857.71648169	-0.020618506107031975
24518	139	4670	130371	696048027.53595042	-0.10659372404738332
24518	140	5540	157287	839751985.54162395	0.077856217454489451
24518	141	4978	140269	748893241.39908588	-0.038764718214958971
24518	142	4989	135668	724328599.14971364	-0.070294447032395291
24518	143	5510	156238	834151396.60017824	0.070667631162489641
24518	144	5675	153980	822095982.08179462	0.055194010716983932
24518	145	4955	137234	732689440.21959352	-0.059562963587903694
24518	146	4520	127816	682406936.26293457	-0.12410262583580967
24518	147	5303	157402	840365968.12338376	0.078644289354946828
24518	148	5965	163182	871225266.58053923	0.11825346835185679
24518	149	5025	135089	721237330.32502627	-0.074262217731220659
24518	150	5051	138279	738268673.24515188	-0.052401788492441592
24518	151	5602	156074	833275804.04879856	0.069543772104445623
24518	152	6619	181393	968453412.63646555	0.24304979338865995
24518	153	5906	173089	924118531.254421	0.1861441493764906
24518	154	5985	174118	929612340.61643028	0.19319567968580231
24518	155	5176	148594	793340241.33953881	0.018284834579033182
24518	156	4808	131868	704040479.05677426	-0.09633508374316635
24518	157	5248	143202	764552466.72345221	-0.018665458353724129
24518	158	5159	145057	774456272.71618974	-0.0059535159593872011
24518	159	5547	140248	748781122.84067762	-0.038908626996781548
24518	160	4900	135296	722342498.97219431	-0.072843688310397114
24518	161	4821	128007	683426681.24655342	-0.12279374120113662
24518	162	6002	145172	775070255.29794967	-0.0051654440589297135
24518	163	5628	146968	784659061.53134954	0.0071421831864768581
24518	164	5050	140294	749026715.87338161	-0.038593398236598575
24518	165	5611	147583	787942533.59902263	0.011356654654141263
24518	166	5686	166042	886494746.43996203	0.13785247387627919
24518	167	4672	134329	717179706.30643845	-0.079470345073374804
24518	168	5138	142160	758989250.63480926	-0.025806075051783006
24518	169	5152	129585	691851590.06409514	-0.11198002416703212
24518	170	5025	136564	729112324.30847001	-0.064154339007960637
24518	171	5511	145231	775385255.05728734	-0.004761128909999468
24518	172	4905	132531	707580222.1150949	-0.091791677917050341
24518	173	5250	148844	794674986.08249533	0.019998034362636474
24518	174	4765	124903	666854490.51800501	-0.14406482971435597
24518	175	4692	126858	677292194.40792513	-0.13066760740657768
24518	176	4868	137689	735118675.65177453	-0.05644493998174549
24518	177	6386	169953	907375493.19877422	0.16465377129097014
